Pitch	Yaw	Percent Shaded
72	72	 0.431034 
72	69	 1 
72	66	 1 
72	63	 1 
72	60	 1 
72	57	 1 
72	54	 1 
72	51	 0.991379 
72	48	 0.982759 
72	45	 0.982759 
72	42	 0.982759 
72	39	 0.982759 
72	36	 0.974138 
72	33	 0.974138 
72	30	 0.974138 
72	27	 0.965517 
72	24	 0.965517 
72	21	 0.965517 
72	18	 0.965517 
72	15	 0.965517 
72	12	 0.965517 
72	9	 0.965517 
72	6	 0.965517 
72	3	 0.974138 
72	0	 0.974138 
72	-3	 0.956897 
72	-6	 0.974138 
72	-9	 0.965517 
72	-12	 0.974138 
72	-15	 0.965517 
72	-18	 0.965517 
72	-21	 0.965517 
72	-24	 0.965517 
72	-27	 0.965517 
72	-30	 0.982759 
72	-33	 0.982759 
72	-36	 0.982759 
72	-39	 0.982759 
72	-42	 0.982759 
72	-45	 0.982759 
72	-48	 0.982759 
72	-51	 0.982759 
72	-54	 0.991379 
72	-57	 0.991379 
72	-60	 1 
72	-63	 1 
72	-66	 1 
72	-69	 1 
72	-72	 1 
69	72	 1 
69	69	 1 
69	66	 1 
69	63	 1 
69	60	 1 
69	57	 1 
69	54	 0.982759 
69	51	 0.982759 
69	48	 0.982759 
69	45	 0.982759 
69	42	 0.974138 
69	39	 0.974138 
69	36	 0.956897 
69	33	 0.956897 
69	30	 0.956897 
69	27	 0.948276 
69	24	 0.948276 
69	21	 0.939655 
69	18	 0.931034 
69	15	 0.931034 
69	12	 0.931034 
69	9	 0.931034 
69	6	 0.931034 
69	3	 0.922414 
69	0	 0.922414 
69	-3	 0.913793 
69	-6	 0.922414 
69	-9	 0.922414 
69	-12	 0.931034 
69	-15	 0.931034 
69	-18	 0.931034 
69	-21	 0.939655 
69	-24	 0.948276 
69	-27	 0.948276 
69	-30	 0.948276 
69	-33	 0.948276 
69	-36	 0.948276 
69	-39	 0.956897 
69	-42	 0.965517 
69	-45	 0.974138 
69	-48	 0.974138 
69	-51	 0.982759 
69	-54	 0.982759 
69	-57	 0.982759 
69	-60	 0.991379 
69	-63	 1 
69	-66	 1 
69	-69	 1 
69	-72	 1 
66	72	 1 
66	69	 1 
66	66	 1 
66	63	 1 
66	60	 1 
66	57	 0.982759 
66	54	 0.982759 
66	51	 0.982759 
66	48	 0.974138 
66	45	 0.965517 
66	42	 0.956897 
66	39	 0.956897 
66	36	 0.939655 
66	33	 0.939655 
66	30	 0.931034 
66	27	 0.922414 
66	24	 0.922414 
66	21	 0.913793 
66	18	 0.913793 
66	15	 0.896552 
66	12	 0.896552 
66	9	 0.887931 
66	6	 0.87931 
66	3	 0.862069 
66	0	 0.862069 
66	-3	 0.87069 
66	-6	 0.862069 
66	-9	 0.87069 
66	-12	 0.87069 
66	-15	 0.887931 
66	-18	 0.896552 
66	-21	 0.905172 
66	-24	 0.913793 
66	-27	 0.913793 
66	-30	 0.931034 
66	-33	 0.948276 
66	-36	 0.948276 
66	-39	 0.948276 
66	-42	 0.948276 
66	-45	 0.956897 
66	-48	 0.965517 
66	-51	 0.965517 
66	-54	 0.974138 
66	-57	 0.982759 
66	-60	 0.982759 
66	-63	 0.991379 
66	-66	 1 
66	-69	 1 
66	-72	 1 
63	72	 1 
63	69	 1 
63	66	 1 
63	63	 1 
63	60	 0.982759 
63	57	 0.982759 
63	54	 0.982759 
63	51	 0.965517 
63	48	 0.965517 
63	45	 0.948276 
63	42	 0.939655 
63	39	 0.931034 
63	36	 0.913793 
63	33	 0.905172 
