Pitch	Yaw	Percent Shaded
0	-72	 1 
72	72	 1 
72	69	 1 
72	66	 1 
72	63	 1 
72	60	 1 
72	57	 1 
72	54	 0.982759 
72	51	 0.956897 
72	48	 0.922414 
72	45	 0.896552 
72	42	 0.862069 
72	39	 0.827586 
72	36	 0.793103 
72	33	 0.75 
72	30	 0.715517 
72	27	 0.689655 
72	24	 0.672414 
72	21	 0.672414 
72	18	 0.672414 
72	15	 0.672414 
72	12	 0.672414 
72	9	 0.672414 
72	6	 0.663793 
72	3	 0.663793 
72	0	 0.663793 
72	-3	 0.663793 
72	-6	 0.663793 
72	-9	 0.672414 
72	-12	 0.672414 
72	-15	 0.681034 
72	-18	 0.681034 
72	-21	 0.681034 
72	-24	 0.689655 
72	-27	 0.715517 
72	-30	 0.715517 
72	-33	 0.767241 
72	-36	 0.810345 
72	-39	 0.836207 
72	-42	 0.87069 
72	-45	 0.896552 
72	-48	 0.931034 
72	-51	 0.956897 
72	-54	 0.982759 
72	-57	 1 
72	-60	 1 
72	-63	 1 
72	-66	 1 
72	-69	 1 
72	-72	 1 
69	72	 1 
69	69	 1 
69	66	 1 
69	63	 1 
69	60	 1 
69	57	 0.931034 
69	54	 0.896552 
69	51	 0.853448 
69	48	 0.810345 
69	45	 0.758621 
69	42	 0.732759 
69	39	 0.689655 
69	36	 0.663793 
69	33	 0.672414 
69	30	 0.681034 
69	27	 0.689655 
69	24	 0.689655 
69	21	 0.689655 
69	18	 0.698276 
69	15	 0.706897 
69	12	 0.724138 
69	9	 0.732759 
69	6	 0.732759 
69	3	 0.741379 
69	0	 0.75 
69	-3	 0.732759 
69	-6	 0.732759 
69	-9	 0.724138 
69	-12	 0.706897 
69	-15	 0.698276 
69	-18	 0.698276 
69	-21	 0.689655 
69	-24	 0.672414 
69	-27	 0.672414 
69	-30	 0.672414 
69	-33	 0.672414 
69	-36	 0.689655 
69	-39	 0.681034 
69	-42	 0.715517 
69	-45	 0.775862 
69	-48	 0.810345 
69	-51	 0.862069 
69	-54	 0.905172 
69	-57	 0.939655 
69	-60	 0.974138 
69	-63	 1 
69	-66	 1 
69	-69	 1 
69	-72	 1 
66	72	 1 
66	69	 1 
66	66	 1 
66	63	 1 
66	60	 1 
66	57	 1 
66	54	 1 
66	51	 1 
66	48	 0.853448 
66	45	 0.75 
66	42	 0.715517 
66	39	 0.681034 
66	36	 0.681034 
66	33	 0.706897 
66	30	 0.715517 
66	27	 0.732759 
66	24	 0.758621 
66	21	 0.758621 
66	18	 0.784483 
66	15	 0.801724 
66	12	 0.810345 
66	9	 0.810345 
66	6	 0.818966 
66	3	 0.818966 
66	0	 0.818966 
66	-3	 0.818966 
66	-6	 0.818966 
66	-9	 0.818966 
66	-12	 0.801724 
66	-15	 0.784483 
66	-18	 0.775862 
66	-21	 0.758621 
66	-24	 0.75 
66	-27	 0.741379 
66	-30	 0.681034 
66	-33	 0.681034 
66	-36	 0.681034 
66	-39	 0.663793 
66	-42	 0.646552 
66	-45	 0.655172 
66	-48	 0.689655 
66	-51	 0.732759 
66	-54	 0.775862 
66	-57	 0.836207 
66	-60	 0.887931 
66	-63	 0.956897 
66	-66	 0.991379 
66	-69	 1 
66	-72	 1 
63	72	 1 
63	69	 1 
63	66	 1 
63	63	 1 
63	60	 1 
63	57	 1 
63	54	 1 
63	51	 1 
63	48	 1 
63	45	 0.767241 
63	42	 0.741379 
63	39	 0.689655 
63	36	 0.715517 
63	33	 0.724138 
63	30	 0.758621 
63	27	 0.784483 
63	24	 0.818966 
63	21	 0.818966 
63	18	 0.836207 
63	15	 0.853448 
63	12	 0.862069 
63	9	 0.862069 
63	6	 0.87069 
63	3	 0.887931 
63	0	 0.87931 
63	-3	 0.887931 
63	-6	 0.87069 
63	-9	 0.862069 
63	-12	 0.844828 
63	-15	 0.836207 
63	-18	 0.827586 
63	-21	 0.818966 
63	-24	 0.784483 
63	-27	 0.775862 
63	-30	 1 
63	-33	 0.724138 
63	-36	 0.706897 
63	-39	 0.672414 
63	-42	 0.655172 
63	-45	 0.646552 
63	-48	 0.663793 
63	-51	 0.672414 
63	-54	 0.672414 
63	-57	 0.706897 
63	-60	 0.784483 
63	-63	 0.862069 
63	-66	 0.922414 
63	-69	 0.991379 
63	-72	 1 
60	72	 0 
60	69	 0 
60	66	 0 
60	63	 0 
60	60	 0 
60	57	 0 
60	54	 0 
60	51	 0 
60	48	 0 
60	45	 0 
60	42	 0 
60	39	 0 
60	36	 0 
60	33	 0 
60	30	 0 
60	27	 0 
60	24	 0 
60	21	 0 
60	18	 0 
60	15	 0 
60	12	 0 
60	9	 0 
60	6	 0 
60	3	 0 
60	0	 0 
60	-3	 0 
60	-6	 0 
60	-9	 0 
60	-12	 0 
60	-15	 0 
60	-18	 0 
60	-21	 0 
60	-24	 0 
60	-27	 0 
60	-30	 0 
60	-33	 0 
60	-36	 0 
60	-39	 0 
60	-42	 0 
60	-45	 0 
60	-48	 0 
60	-51	 0 
60	-54	 0 
60	-57	 0 
60	-60	 0 
60	-63	 0 
60	-66	 0 
60	-69	 0 
60	-72	 0 
57	72	 1 
57	69	 1 
57	66	 1 
57	63	 1 
57	60	 1 
57	57	 1 
57	54	 1 
57	51	 1 
57	48	 1 
57	45	 0.836207 
57	42	 0.793103 
57	39	 0.767241 
57	36	 0.775862 
57	33	 0.784483 
57	30	 0.784483 
57	27	 0.775862 
57	24	 0.775862 
57	21	 0.775862 
57	18	 0.767241 
57	15	 0.758621 
57	12	 0.75 
57	9	 0.732759 
57	6	 0.732759 
57	3	 0.732759 
57	0	 0.732759 
57	-3	 0.732759 
57	-6	 0.741379 
57	-9	 0.75 
57	-12	 0.758621 
57	-15	 0.758621 
57	-18	 0.767241 
