Pitch	Yaw	Percent Shaded
0	-72	 1 
72	72	 1 
72	69	 1 
72	66	 1 
72	63	 1 
72	60	 1 
72	57	 1 
72	54	 1 
72	51	 1 
72	48	 1 
72	45	 0.982759 
72	42	 0.974138 
72	39	 0.956897 
72	36	 0.939655 
72	33	 0.913793 
72	30	 0.896552 
72	27	 0.862069 
72	24	 0.836207 
72	21	 0.810345 
72	18	 0.775862 
72	15	 0.758621 
72	12	 0.724138 
72	9	 0.715517 
72	6	 0.706897 
72	3	 0.698276 
72	0	 0.706897 
72	-3	 0.698276 
72	-6	 0.715517 
72	-9	 0.724138 
72	-12	 0.732759 
72	-15	 0.758621 
72	-18	 0.784483 
72	-21	 0.818966 
72	-24	 0.844828 
72	-27	 0.887931 
72	-30	 0.887931 
72	-33	 0.931034 
72	-36	 0.948276 
72	-39	 0.965517 
72	-42	 0.982759 
72	-45	 0.991379 
72	-48	 1 
72	-51	 1 
72	-54	 1 
72	-57	 1 
72	-60	 1 
72	-63	 1 
72	-66	 1 
72	-69	 1 
72	-72	 1 
69	72	 1 
69	69	 1 
69	66	 1 
69	63	 1 
69	60	 1 
69	57	 1 
69	54	 0.982759 
69	51	 0.965517 
69	48	 0.922414 
69	45	 0.896552 
69	42	 0.853448 
69	39	 0.810345 
69	36	 0.775862 
69	33	 0.724138 
69	30	 0.681034 
69	27	 0.655172 
69	24	 0.62931 
69	21	 0.62931 
69	18	 0.62069 
69	15	 0.62069 
69	12	 0.62069 
69	9	 0.62069 
69	6	 0.62069 
69	3	 0.62069 
69	0	 0.62069 
69	-3	 0.62069 
69	-6	 0.62069 
69	-9	 0.62069 
69	-12	 0.62069 
69	-15	 0.62069 
69	-18	 0.62069 
69	-21	 0.637931 
69	-24	 0.637931 
69	-27	 0.672414 
69	-30	 0.698276 
69	-33	 0.732759 
69	-36	 0.784483 
69	-39	 0.827586 
69	-42	 0.862069 
69	-45	 0.905172 
69	-48	 0.931034 
69	-51	 0.974138 
69	-54	 0.982759 
69	-57	 1 
69	-60	 1 
69	-63	 1 
69	-66	 1 
69	-69	 1 
69	-72	 1 
66	72	 1 
66	69	 1 
66	66	 1 
66	63	 1 
66	60	 1 
66	57	 1 
66	54	 1 
66	51	 1 
66	48	 0.801724 
66	45	 0.741379 
66	42	 0.698276 
66	39	 0.637931 
66	36	 0.603448 
66	33	 0.577586 
66	30	 0.568966 
66	27	 0.568966 
66	24	 0.568966 
66	21	 0.568966 
66	18	 0.568966 
66	15	 0.568966 
66	12	 0.568966 
66	9	 0.568966 
66	6	 0.568966 
66	3	 0.568966 
66	0	 0.568966 
66	-3	 0.568966 
66	-6	 0.568966 
66	-9	 0.568966 
66	-12	 0.568966 
66	-15	 0.568966 
66	-18	 0.568966 
66	-21	 0.568966 
66	-24	 0.568966 
66	-27	 0.568966 
66	-30	 0.568966 
66	-33	 0.568966 
66	-36	 0.594828 
66	-39	 0.637931 
66	-42	 0.689655 
66	-45	 0.75 
66	-48	 0.810345 
66	-51	 0.862069 
66	-54	 0.913793 
66	-57	 0.956897 
66	-60	 0.982759 
66	-63	 1 
66	-66	 1 
66	-69	 1 
66	-72	 1 
63	72	 1 
63	69	 1 
63	66	 1 
63	63	 1 
63	60	 1 
63	57	 1 
63	54	 1 
63	51	 1 
63	48	 1 
63	45	 0.62069 
63	42	 0.568966 
63	39	 0.508621 
63	36	 0.5 
63	33	 0.5 
63	30	 0.5 
63	27	 0.5 
63	24	 0.5 
63	21	 0.5 
63	18	 0.5 
63	15	 0.5 
63	12	 0.5 
63	9	 0.5 
63	6	 0.5 
63	3	 0.5 
63	0	 0.5 
63	-3	 0.5 
63	-6	 0.5 
63	-9	 0.5 
63	-12	 0.5 
63	-15	 0.5 
63	-18	 0.5 
63	-21	 0.5 
63	-24	 0.5 
63	-27	 0.5 
63	-30	 1 
63	-33	 0.5 
63	-36	 0.5 
63	-39	 0.5 
63	-42	 0.525862 
63	-45	 0.577586 
63	-48	 0.637931 
63	-51	 0.706897 
63	-54	 0.784483 
63	-57	 0.844828 
63	-60	 0.905172 
63	-63	 0.965517 
63	-66	 1 
63	-69	 1 
63	-72	 1 
60	72	 0 
60	69	 0 
60	66	 0 
60	63	 0 
60	60	 0 
60	57	 0 
60	54	 0 
60	51	 0 
60	48	 0 
60	45	 0 
60	42	 0 
60	39	 0 
60	36	 0 
60	33	 0 
60	30	 0 
60	27	 0 
60	24	 0 
60	21	 0 
60	18	 0 
60	15	 0 
60	12	 0 
60	9	 0 
60	6	 0 
60	3	 0 
60	0	 0 
60	-3	 0 
60	-6	 0 
60	-9	 0 
60	-12	 0 
60	-15	 0 
60	-18	 0 
60	-21	 0 
60	-24	 0 
60	-27	 0 
60	-30	 0 
60	-33	 0 
60	-36	 0 
60	-39	 0 
60	-42	 0 
60	-45	 0 
60	-48	 0 
60	-51	 0 
60	-54	 0 
60	-57	 0 
60	-60	 0 
60	-63	 0 
60	-66	 0 
60	-69	 0 
60	-72	 0 
57	72	 1 
57	69	 1 
57	66	 1 
57	63	 1 
57	60	 1 
57	57	 1 
57	54	 1 
57	51	 1 
57	48	 1 
57	45	 0.568966 
57	42	 0.517241 
57	39	 0.439655 
57	36	 0.448276 
57	33	 0.448276 
57	30	 0.448276 
57	27	 0.448276 
57	24	 0.448276 
57	21	 0.448276 
57	18	 0.465517 
57	15	 0.465517 
57	12	 0.465517 
57	9	 0.474138 
57	6	 0.474138 
57	3	 0.474138 
57	0	 0.482759 
57	-3	 0.482759 
57	-6	 0.474138 
57	-9	 0.456897 
57	-12	 0.465517 
57	-15	 0.465517 
57	-18	 0.456897 
57	-21	 1 
57	-24	 1 
57	-27	 1 
57	-30	 1 
57	-33	 1 
57	-36	 1 
57	-39	 1 
