Pitch	Yaw	Percent Shaded
72	72	 1 
72	69	 1 
72	66	 1 
72	63	 1 
72	60	 1 
72	57	 1 
72	54	 1 
72	51	 1 
72	48	 1 
72	45	 1 
72	42	 1 
72	39	 1 
72	36	 1 
72	33	 1 
72	30	 1 
72	27	 1 
72	24	 1 
72	21	 1 
72	18	 1 
72	15	 1 
72	12	 1 
72	9	 1 
72	6	 1 
72	3	 1 
72	0	 1 
72	-3	 1 
72	-6	 1 
72	-9	 1 
72	-12	 1 
72	-15	 1 
72	-18	 1 
72	-21	 1 
72	-24	 1 
72	-27	 1 
72	-30	 1 
72	-33	 1 
72	-36	 1 
72	-39	 1 
72	-42	 1 
72	-45	 1 
72	-48	 1 
72	-51	 1 
72	-54	 1 
72	-57	 1 
72	-60	 1 
72	-63	 1 
72	-66	 1 
72	-69	 1 
72	-72	 1 
69	72	 1 
69	69	 1 
69	66	 1 
69	63	 1 
69	60	 1 
69	57	 1 
69	54	 1 
69	51	 1 
69	48	 1 
69	45	 1 
69	42	 1 
69	39	 1 
69	36	 1 
69	33	 1 
69	30	 1 
69	27	 1 
69	24	 1 
69	21	 1 
69	18	 1 
69	15	 1 
69	12	 1 
69	9	 1 
69	6	 1 
69	3	 1 
69	0	 1 
69	-3	 1 
69	-6	 1 
69	-9	 1 
69	-12	 1 
69	-15	 1 
69	-18	 1 
69	-21	 1 
69	-24	 1 
69	-27	 1 
69	-30	 1 
69	-33	 1 
69	-36	 1 
69	-39	 1 
69	-42	 1 
69	-45	 1 
69	-48	 1 
69	-51	 1 
69	-54	 1 
69	-57	 1 
69	-60	 1 
69	-63	 1 
69	-66	 1 
69	-69	 1 
69	-72	 1 
66	72	 1 
66	69	 1 
66	66	 1 
66	63	 1 
66	60	 1 
66	57	 1 
66	54	 1 
66	51	 1 
66	48	 1 
66	45	 1 
66	42	 1 
66	39	 1 
66	36	 1 
66	33	 1 
66	30	 1 
66	27	 1 
66	24	 1 
66	21	 1 
66	18	 1 
66	15	 1 
66	12	 1 
66	9	 1 
66	6	 1 
66	3	 1 
66	0	 1 
66	-3	 1 
66	-6	 1 
66	-9	 1 
66	-12	 1 
66	-15	 1 
66	-18	 1 
66	-21	 1 
66	-24	 1 
66	-27	 1 
66	-30	 1 
66	-33	 1 
66	-36	 1 
66	-39	 1 
66	-42	 1 
66	-45	 1 
66	-48	 1 
66	-51	 1 
66	-54	 1 
66	-57	 1 
66	-60	 1 
66	-63	 1 
66	-66	 1 
66	-69	 1 
66	-72	 1 
63	72	 1 
63	69	 1 
63	66	 1 
63	63	 1 
63	60	 1 
63	57	 1 
63	54	 1 
63	51	 1 
63	48	 1 
63	45	 1 
63	42	 1 
63	39	 1 
63	36	 1 
63	33	 1 
63	30	 1 
63	27	 1 
63	24	 1 
63	21	 1 
63	18	 1 
63	15	 1 
63	12	 1 
63	9	 1 
63	6	 1 
63	3	 1 
63	0	 1 
63	-3	 1 
63	-6	 1 
63	-9	 1 
63	-12	 1 
63	-15	 1 
63	-18	 1 
63	-21	 1 
63	-24	 1 
63	-27	 1 
63	-30	 1 
63	-33	 1 
63	-36	 1 
63	-39	 1 
63	-42	 1 
63	-45	 1 
63	-48	 1 
63	-51	 1 
63	-54	 1 
63	-57	 1 
63	-60	 1 
63	-63	 1 
63	-66	 1 
63	-69	 1 
63	-72	 1 
60	72	 0 
60	69	 0 
60	66	 0 
60	63	 0 
60	60	 0 
60	57	 0 
60	54	 0 
60	51	 0 
60	48	 0 
60	45	 0 
60	42	 0 
60	39	 0 
60	36	 0 
60	33	 0 
60	30	 0 
60	27	 0 
60	24	 0 
60	21	 0 
60	18	 0 
60	15	 0 
60	12	 0 
60	9	 0 
60	6	 0 
60	3	 0 
60	0	 0 
60	-3	 0 
60	-6	 0 
60	-9	 0 
60	-12	 0 
60	-15	 0 
60	-18	 0 
60	-21	 0 
60	-24	 0 
60	-27	 0 
60	-30	 0 
60	-33	 0 
60	-36	 0 
60	-39	 0 
60	-42	 0 
60	-45	 0 
60	-48	 0 
60	-51	 0 
60	-54	 0 
60	-57	 0 
60	-60	 0 
60	-63	 0 
60	-66	 0 
60	-69	 0 
60	-72	 0 
57	72	 1 
57	69	 1 
57	66	 1 
57	63	 1 
57	60	 1 
57	57	 1 
57	54	 1 
57	51	 1 
57	48	 1 
57	45	 1 
57	42	 1 
57	39	 1 
57	36	 1 
57	33	 1 
57	30	 1 
57	27	 1 
57	24	 0.991379 
57	21	 0.991379 
57	18	 0.991379 
57	15	 0.991379 
57	12	 1 
57	9	 1 
57	6	 1 
57	3	 1 
57	0	 1 
57	-3	 1 
57	-6	 1 
57	-9	 1 
57	-12	 1 
57	-15	 1 
57	-18	 1 
57	-21	 1 
57	-24	 1 
57	-27	 1 
57	-30	 1 
57	-33	 1 
57	-36	 1 
57	-39	 1 
57	-42	 1 
57	-45	 1 
57	-48	 1 
57	-51	 1 
57	-54	 1 
57	-57	 1 
57	-60	 1 
57	-63	 1 
57	-66	 1 
57	-69	 1 
57	-72	 1 
54	72	 1 
54	69	 1 
54	66	 1 
54	63	 1 
54	60	 1 
54	57	 1 
54	54	 1 
54	51	 1 
54	48	 1 
54	45	 1 
54	42	 1 
54	39	 0.991379 
54	36	 0.982759 
54	33	 0.974138 
54	30	 0.965517 
54	27	 0.965517 
54	24	 0.965517 
54	21	 0.948276 
54	18	 0.939655 
54	15	 0.931034 
54	12	 0.922414 
54	9	 0.913793 
54	6	 0.905172 
54	3	 0.896552 
54	0	 0.905172 
54	-3	 0.896552 
54	-6	 0.905172 
54	-9	 0.896552 
54	-12	 0.922414 
54	-15	 0.931034 
54	-18	 0.939655 
54	-21	 1 
54	-24	 1 
54	-27	 1 
54	-30	 1 
54	-33	 1 
54	-36	 1 
54	-39	 1 
54	-42	 1 
54	-45	 1 
54	-48	 1 
54	-51	 1 
54	-54	 1 
54	-57	 1 
54	-60	 1 
54	-63	 1 
54	-66	 1 
54	-69	 1 
54	-72	 1 
51	72	 1 
51	69	 1 
51	66	 1 
51	63	 1 
51	60	 1 
51	57	 1 
51	54	 1 
51	51	 1 
51	48	 0.991379 
51	45	 0.982759 
51	42	 0.974138 
51	39	 0.956897 
51	36	 0.948276 
51	33	 0.922414 
51	30	 0.913793 
51	27	 0.87931 
51	24	 0.87931 
51	21	 0.844828 
51	18	 0.827586 
51	15	 0.801724 
51	12	 0.793103 
51	9	 0.784483 
51	6	 0.775862 
51	3	 0.767241 
51	0	 0.767241 
51	-3	 0.775862 
51	-6	 0.775862 
51	-9	 0.775862 
51	-12	 0.793103 
51	-15	 0.818966 
51	-18	 1 
51	-21	 1 
51	-24	 1 
51	-27	 1 
51	-30	 1 
51	-33	 1 
51	-36	 1 
51	-39	 1 
51	-42	 1 
51	-45	 0.982759 
51	-48	 0.991379 
51	-51	 1 
51	-54	 1 
51	-57	 1 
51	-60	 1 
51	-63	 1 
51	-66	 1 
51	-69	 1 
51	-72	 1 
48	72	 1 
48	69	 1 
48	66	 1 
48	63	 1 
48	60	 1 
48	57	 1 
48	54	 1 
48	51	 1 
48	48	 0.956897 
48	45	 0.939655 
48	42	 0.922414 
48	39	 0.896552 
48	36	 0.862069 
48	33	 0.836207 
48	30	 0.801724 
48	27	 0.758621 
48	24	 0.741379 
48	21	 0.715517 
48	18	 0.698276 
48	15	 0.672414 
48	12	 0.663793 
48	9	 0.655172 
48	6	 0.646552 
48	3	 0.637931 
48	0	 0.62931 
48	-3	 0.637931 
48	-6	 0.655172 
48	-9	 0.663793 
48	-12	 0.663793 
48	-15	 0.689655 
48	-18	 1 
48	-21	 1 
48	-24	 1 
48	-27	 1 
48	-30	 1 
48	-33	 1 
48	-36	 1 
48	-39	 1 
48	-42	 1 
48	-45	 0.948276 
48	-48	 0.965517 
48	-51	 0.982759 
48	-54	 0.991379 
48	-57	 1 
48	-60	 1 
48	-63	 1 
48	-66	 1 
48	-69	 1 
48	-72	 1 
45	72	 1 
45	69	 1 
45	66	 1 
45	63	 1 
45	60	 1 
45	57	 1 
45	54	 1 
45	51	 1 
45	48	 0.913793 
45	45	 0.87069 
45	42	 0.836207 
45	39	 0.793103 
45	36	 0.75 
45	33	 0.706897 
45	30	 0.663793 
45	27	 0.612069 
45	24	 0.603448 
45	21	 0.577586 
45	18	 0.560345 
45	15	 0.543103 
45	12	 0.525862 
45	9	 0.525862 
45	6	 0.525862 
45	3	 0.517241 
45	0	 0.5 
45	-3	 0.517241 
45	-6	 0.517241 
45	-9	 0.525862 
45	-12	 0.543103 
45	-15	 0.551724 
45	-18	 1 
45	-21	 1 
45	-24	 1 
45	-27	 1 
45	-30	 1 
45	-33	 1 
45	-36	 1 
45	-39	 1 
45	-42	 1 
45	-45	 0.87931 
45	-48	 0.913793 
45	-51	 0.939655 
45	-54	 0.974138 
45	-57	 0.982759 
45	-60	 1 
45	-63	 1 
45	-66	 1 
45	-69	 1 
45	-72	 1 
42	72	 1 
42	69	 1 
42	66	 1 
42	63	 1 
42	60	 1 
42	57	 1 
42	54	 1 
42	51	 1 
42	48	 0.827586 
42	45	 0.767241 
42	42	 0.706897 
42	39	 0.655172 
42	36	 0.612069 
42	33	 0.568966 
42	30	 0.534483 
42	27	 0.517241 
42	24	 0.465517 
42	21	 0.448276 
42	18	 0.439655 
42	15	 0.413793 
42	12	 0.396552 
42	9	 0.405172 
42	6	 0.396552 
42	3	 0.37931 
42	0	 0.37931 
42	-3	 0.387931 
42	-6	 0.396552 
42	-9	 0.396552 
42	-12	 0.413793 
42	-15	 0.422414 
42	-18	 1 
42	-21	 1 
42	-24	 1 
42	-27	 1 
42	-30	 1 
42	-33	 1 
42	-36	 1 
42	-39	 1 
42	-42	 1 
42	-45	 0.784483 
42	-48	 0.836207 
42	-51	 0.87931 
42	-54	 0.922414 
42	-57	 0.956897 
42	-60	 0.982759 
42	-63	 1 
42	-66	 1 
42	-69	 1 
42	-72	 1 
39	72	 1 
39	69	 1 
39	66	 1 
39	63	 1 
39	60	 1 
39	57	 1 
39	54	 1 
39	51	 1 
39	48	 0.724138 
39	45	 0.637931 
39	42	 0.568966 
39	39	 0.525862 
39	36	 0.474138 
39	33	 0.431034 
39	30	 0.396552 
39	27	 0.387931 
39	24	 0.344828 
39	21	 0.327586 
39	18	 0.310345 
39	15	 0.293103 
39	12	 0.293103 
39	9	 0.275862 
39	6	 0.267241 
39	3	 0.25 
39	0	 0.25 
39	-3	 0.267241 
39	-6	 0.275862 
39	-9	 0.275862 
39	-12	 0.275862 
39	-15	 0.293103 
39	-18	 1 
39	-21	 1 
39	-24	 1 
39	-27	 1 
39	-30	 1 
39	-33	 1 
39	-36	 1 
39	-39	 1 
39	-42	 1 
39	-45	 0.689655 
39	-48	 0.75 
39	-51	 0.818966 
39	-54	 0.87069 
39	-57	 0.931034 
39	-60	 0.956897 
39	-63	 1 
39	-66	 1 
39	-69	 1 
39	-72	 1 
36	72	 1 
36	69	 1 
36	66	 1 
36	63	 1 
36	60	 1 
36	57	 1 
36	54	 1 
36	51	 1 
36	48	 0.62931 
36	45	 0.508621 
36	42	 0.431034 
36	39	 0.37069 
36	36	 0.344828 
36	33	 0.310345 
36	30	 0.258621 
36	27	 0.25 
36	24	 0.224138 
36	21	 0.206897 
36	18	 0.181034 
36	15	 0.172414 
36	12	 0.163793 
36	9	 0.155172 
36	6	 0.146552 
36	3	 0.137931 
36	0	 0.12931 
36	-3	 0.146552 
36	-6	 0.146552 
36	-9	 0.146552 
36	-12	 0.155172 
36	-15	 0.172414 
36	-18	 1 
36	-21	 1 
36	-24	 1 
36	-27	 1 
36	-30	 1 
36	-33	 1 
36	-36	 1 
36	-39	 1 
36	-42	 1 
36	-45	 0.594828 
36	-48	 0.663793 
36	-51	 0.75 
36	-54	 0.827586 
36	-57	 0.887931 
36	-60	 0.939655 
36	-63	 1 
36	-66	 1 
36	-69	 1 
36	-72	 1 
33	72	 1 
33	69	 1 
33	66	 1 
33	63	 1 
33	60	 1 
33	57	 1 
33	54	 1 
33	51	 1 
33	48	 0.551724 
33	45	 0.353448 
33	42	 0.284483 
33	39	 0.232759 
33	36	 0.189655 
33	33	 0.189655 
33	30	 0.12069 
33	27	 0.112069 
33	24	 0.094828 
33	21	 0.077586 
33	18	 0.060345 
33	15	 0.051724 
33	12	 0.034483 
33	9	 0.025862 
33	6	 0.025862 
33	3	 0.017241 
33	0	 0.008621 
33	-3	 0.017241 
33	-6	 0.025862 
33	-9	 0.034483 
33	-12	 0.043103 
33	-15	 0.043103 
33	-18	 1 
33	-21	 1 
33	-24	 1 
33	-27	 1 
33	-30	 1 
33	-33	 1 
33	-36	 1 
33	-39	 1 
33	-42	 1 
33	-45	 0.482759 
33	-48	 0.586207 
33	-51	 0.681034 
33	-54	 0.767241 
33	-57	 0.844828 
33	-60	 0.922414 
33	-63	 1 
33	-66	 1 
33	-69	 1 
33	-72	 1 
30	72	 1 
30	69	 1 
30	66	 1 
30	63	 1 
30	60	 1 
30	57	 1 
30	54	 1 
30	51	 1 
30	48	 0.448276 
30	45	 0.224138 
